Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
sample_4.trimmed.R2.v1	sample_4.trimmed.R2.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	84355948.0	0.0	50-157	50.0	21.887957078935834	154.55458920336002	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
sample_40.trimmed.R1.v1	sample_40.trimmed.R1.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	101119697.0	0.0	50-157	52.0	18.494523969806316	154.06350250436373	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	fail
sample_40.trimmed.R2.v1	sample_40.trimmed.R2.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	101119697.0	0.0	50-157	51.0	22.662030144878802	154.013356863599	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
sample_41.trimmed.R1.v1	sample_41.trimmed.R1.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	94112091.0	0.0	50-157	52.0	19.416971303942304	153.6354297132767	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	fail
sample_41.trimmed.R2.v1	sample_41.trimmed.R2.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	94112091.0	0.0	50-157	51.0	23.240019236984043	153.58860438028097	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
sample_42.trimmed.R1.v1	sample_42.trimmed.R1.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	101991150.0	0.0	50-157	52.0	18.706844193144583	154.05898244112356	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	fail
sample_42.trimmed.R2.v1	sample_42.trimmed.R2.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	101991150.0	0.0	50-157	51.0	22.77279352790638	154.01211410990072	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
sample_43.trimmed.R1.v1	sample_43.trimmed.R1.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	81217438.0	0.0	50-157	51.0	20.47922737734679	154.06195381341627	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	fail
sample_43.trimmed.R2.v1	sample_43.trimmed.R2.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	81217438.0	0.0	50-157	50.0	24.861219375018432	154.0083380123367	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
sample_44.trimmed.R1.v1	sample_44.trimmed.R1.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	160598293.0	0.0	50-157	51.0	15.056087075945456	153.89882538788876	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	fail
