Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
5329_60_S123_L004_R1_001	80.2372616357391	51.0	157.0	36.36363636363637	58715269.0
5329_60_S123_L004_R2_001	76.93502720561504	50.0	157.0	36.36363636363637	58715269.0
5329_61_S124_L004_R1_001	79.31628414730613	51.0	157.0	27.27272727272727	70458645.0
5329_61_S124_L004_R2_001	75.6370448069817	50.0	157.0	27.27272727272727	70458645.0
5329_62_S125_L004_R1_001	82.14529306229235	52.0	157.0	27.27272727272727	87583023.0
5329_62_S125_L004_R2_001	78.4642041876883	51.0	157.0	27.27272727272727	87583023.0
5329_63_S126_L004_R1_001	76.57024753490616	51.0	157.0	36.36363636363637	49168397.0
5329_63_S126_L004_R2_001	73.29068702723447	51.0	157.0	36.36363636363637	49168397.0
5329_6_S69_L004_R1_001	75.65418653103579	52.0	157.0	27.27272727272727	36470202.0
5329_6_S69_L004_R2_001	71.48794163951428	51.0	157.0	27.27272727272727	36470202.0
5329_7_S70_L004_R1_001	77.66540460094626	53.0	157.0	36.36363636363637	36413868.0
5329_7_S70_L004_R2_001	73.6936966629012	52.0	157.0	36.36363636363637	36413868.0
5329_8_S71_L004_R1_001	75.10546126223774	52.0	157.0	36.36363636363637	48550454.0
5329_8_S71_L004_R2_001	71.53428156291577	51.0	157.0	36.36363636363637	48550454.0
5329_9_S72_L004_R1_001	76.14684676261925	51.0	157.0	27.27272727272727	53865154.0
5329_9_S72_L004_R2_001	71.86329431704709	50.0	157.0	27.27272727272727	53865154.0
